experiment	commit	metric	status	description
0	1ee2f3df	25.00	baseline	runtime-dominant host stream metric baseline
1	474e9530	25.00	discard	live runtime probe inside xctest still failed to create SLDisplayStream and did not improve the metric
2	b14803b2	25.00	keep	standalone live capture probe became the new runtime baseline despite matching the previous scalar score
3	f0bd5263	25.00	discard	relaxing saturation-triggered idr wait and restart thresholds at 120Hz did not improve the runtime score
4	818076b1	25.00	discard	preserving HDR encoder config fixed overlay HDR signalling in the probe but did not improve the total runtime score because drop instability still dominated
5	fccde63f	20.00	discard	moving 4K 120Hz overlay auto queue from q1 to q2 reduced drops somewhat but regressed the synthetic score and still failed HDR signalling in the live probe
6	fe05c1ba	25.00	discard	multiplexed delivery cut drop events sharply but still left the total runtime score flat because latency stayed too high and overlay HDR signalling was still missing
7	01bd3a7e	20.00	discard	combining HDR overlay signalling with multiplexed q2 delivery still regressed the total score because latency and drop instability remained too high
8	e3d9eb57	20.00	discard	maximizing overlay queue headroom to q4 increased buffering but still regressed the total score because latency and drop instability worsened
9	4d09ea68	25.00	discard	forcing the private iosurface backend cut drop pressure sharply but still left partial HDR signalling at zero
10	a796b139	59.83	keep	combining the private iosurface backend with overlay hdr encoding restored hdr signalling while sharply reducing drop pressure
11	007b9843	47.50	discard	adding a 41 Mbps default bitrate for the 4k 120hz overlay path sharply regressed progression and callback latency
12	db1976f0	25.00	discard	switching the 4k 120hz overlay path to multiplexed delivery did not improve runtime progression or hdr signalling
13	1b0da5e	25.00	discard	forcing MDK to prefer private iosurface for high-refresh HDR overlay sessions did not move the runtime probe off zero-frame startup
14	a9d7b71b	25.00	keep	extending the runtime probe to wait through real startup exposed live HDR frames and callback backlog instead of falsely scoring the host path as an immediate zero-frame failure
15	143497c	37.02	keep	retuning the private iosurface surface pool for 4k-class 120 Hz capture cut startup time and drop pressure while preserving live HDR frames
16	7b2958f	25.00	discard	trimming the private iosurface surface pool another step regressed startup time and drop pressure even though HDR frames still arrived
17	b5efc56	25.00	discard	lowering the automatic HEVC low-latency bitrate target reduced encoder pressure somewhat but still regressed startup time and drop pressure versus the current best
18	aa705fa	63.20	keep	capping the high-refresh HDR HEVC staging backlog cut startup time and drop pressure sharply while preserving live HDR frames
19	c18418c	25.00	discard	tightening the HDR staging backlog to two frames destabilized the runtime probe and triggered a startup crash
20	31bd338	61.26	discard	setting the HDR staging backlog ceiling to three frames improved average latency slightly but still regressed the best total score because startup and drop pressure were worse than the four-frame cap
21	b7b606c	37.10	discard	dropping the HEVC max-frame-delay policy to zero increased startup time and drop pressure enough to lose most of the staging-backlog gains
22	7a6212b	30.55	discard	disabling temporal compression for the 4k 120 Hz HDR HEVC path regressed startup time and callback latency versus the current best
23	7d2c8d5	25.00	discard	reducing the private-direct pending frame budget to two at 120 Hz sharply regressed startup time callback latency and drop pressure
24	f9583e1	25.00	discard	serializing the encoded capture processing queue regressed startup time callback latency and drop pressure versus the current best
25	6b8deee	25.00	discard	raising the HDR staging backlog to five frames improved startup somewhat but left callback stalls and drop pressure far worse than the current best
26	d7cec3b	65.17	keep	raising the 4k-class private iosurface pool from four to five surfaces improved startup progression and average callback latency while preserving live hdr frames
27	35be35d	67.17	keep	capping the private-direct pending frame budget at three preserved the larger source pool gains while shaving startup time and drop pressure further
28	776a9bb	65.38	discard	raising the 4k-class private iosurface pool from five to six surfaces added a little progression but regressed max callback latency and drop pressure
29	643f254	67.38	keep	lowering the hdr staging backlog to three frames on top of the newer source pool and pending cap shaved max latency and kept drop pressure flat
30	173465d	25.00	discard	lowering the hdr staging backlog to two frames destabilized the runtime probe again and remains unusable even on the newer source configuration
31	2d25c87	64.54	discard	setting the hevc max frame delay to zero on the newer base regressed progression and did not recover any real latency points
32	ac535b3	63.17	discard	trimming the hevc low-latency bitrate range moderately still regressed max callback latency and drop pressure against the current best
33	d3c27ebb	36.85	discard	clamping the 120 hz core forwarding capacity to two frames in the bridge collapsed progression and startup despite looking appealing for latency
